Name,Carbon,Height
Carpinus betulus,26.5,4.0
Carpinus betulus,115.2,9.0
Carpinus betulus,286.0,10.0
Carpinus betulus,9.9,7.5
Carpinus betulus,189.3,9.0
Carpinus betulus,286.0,9.0
Carpinus betulus,406.9,9.0
Carpinus betulus,38.5,5.0
Carpinus betulus,26.5,4.0
Carpinus betulus,189.3,9.0
Carpinus betulus,189.3,10.0
Carpinus betulus,115.2,9.0
Carpinus betulus,286.0,10.0
Carpinus betulus,264.8,10.0
Carpinus betulus,264.8,10.0
Carpinus betulus,286.0,12.0
Carpinus betulus,380.7,12.0
Carpinus betulus,26.5,4.0
Carpinus betulus,17.0,4.0
Carpinus betulus,26.5,8.0
Carpinus betulus,4.8,7.0
Carpinus betulus,26.5,4.0
Carpinus betulus,17.0,4.0
Carpinus betulus,26.5,4.0
Carpinus betulus,32.2,4.0
Carpinus betulus,26.5,3.5
Carpinus betulus,38.5,4.0
Carpinus betulus,286.0,7.0
Carpinus betulus,115.2,7.0
Carpinus betulus,115.2,10.0
Carpinus betulus,26.5,3.5
Carpinus betulus,115.2,11.0
Carpinus betulus,7.1,3.5
Carpinus betulus,17.0,3.0
Carpinus betulus,206.8,7.0
Carpinus betulus,115.2,6.0
Carpinus betulus,26.5,4.0
Carpinus betulus,115.2,3.0
Carpinus betulus,38.5,3.0
Carpinus betulus,286.0,8.0
Carpinus betulus,434.1,7.0
Carpinus betulus,115.2,8.0
Carpinus betulus,38.5,5.0
Carpinus betulus,286.0,10.0
Carpinus betulus,17.0,3.0
Carpinus betulus,26.5,4.0
Carpinus betulus,26.5,4.0
Carpinus betulus,61.7,5.0
Carpinus betulus,70.8,5.0
Carpinus betulus,26.5,3.0
Carpinus betulus,26.5,5.0
Carpinus betulus,21.5,4.0
Carpinus betulus,53.2,5.5
Carpinus betulus,38.5,4.0
Carpinus betulus,115.2,8.0
Carpinus betulus,115.2,7.0
Carpinus betulus,244.5,8.0
Carpinus betulus,206.8,7.0
Carpinus betulus,206.8,8.0
Carpinus betulus,244.5,8.0
Carpinus betulus,331.3,11.0
Carpinus betulus,491.7,9.0
Carpinus betulus,522.1,10.0
Carpinus betulus,522.1,10.5
Carpinus betulus,462.4,9.0
Carpinus betulus,80.8,7.0
Carpinus betulus,115.2,8.0
Carpinus betulus,189.3,10.0
Carpinus betulus,45.5,9.0
Carpinus betulus,406.9,12.0
Carpinus betulus,522.1,11.0
Carpinus betulus,845.6,11.0
Carpinus betulus,308.2,12.0
Carpinus betulus,654.6,11.0
Carpinus betulus,9.9,3.0
Carpinus betulus,9.9,3.0
Carpinus betulus,9.9,3.0
Carpinus betulus,9.9,3.0
Carpinus betulus,7.1,3.5
Carpinus betulus,13.2,4.0
Carpinus betulus,13.2,4.0
